date	away	home	opening_spread	away_ML	home_ML
20171223	Milwaukee	Charlotte	-1.5	+103	-123
20171223	Dallas	Atlanta	+2.5	-145	+125
20171223	L.A. Clippers	Memphis	-4.5	+160	-185
20171223	Denver	Golden State	-10	+425	-550
20171223	Portland	L.A. Lakers	-3	+135	-155
20171223	San Antonio	Sacramento	+7.5	-310	+255
20171225	Philadelphia	New York	-2	+110	-130
20171225	Washington	Boston	-4.5	+180	-220
20171225	Cleveland	Golden State	-5	+180	-220
20171225	Houston	Oklahoma City	+3.5	-185	+160
20171225	Minnesota	L.A. Lakers	+4.5	-155	+135
20171226	Toronto	Dallas	+5.5	-210	+175
20171226	Orlando	Miami	-6.5	+210	-250
20171226	Brooklyn	San Antonio	-12	+575	-850
20171226	Memphis	Phoenix	0	-117	-103
20171226	Indiana	Detroit	-2	+110	-130
20171226	Chicago	Milwaukee	-6.5	+210	-250
20171226	Utah	Denver	-6	+190	-230
20171226	Sacramento	L.A. Clippers	-5	+173	-205
20171227	Boston	Charlotte	+1	-112	+102
20171227	Washington	Atlanta	+5.5	-220	+180
20171227	New York	Chicago	0	+103	-123
20171227	Denver	Minnesota	-5.5	+175	-210
20171227	Memphis	L.A. Lakers	-2.5	+125	-145
20171227	Dallas	Indiana	-5.5	+175	-210
20171227	Brooklyn	New Orleans	-10	+380	-475
20171227	Toronto	Oklahoma City	-3	+150	-170
20171227	Cleveland	Sacramento	+9.5	-450	+360
20171227	Utah	Golden State	-12	+550	-800
20171228	Detroit	Orlando	+5.5	-190	+165
20171228	Minnesota	Milwaukee	-2.5	+145	-155
20171228	Houston	Boston	+2.5	-125	+105
20171228	New York	San Antonio	-11	+550	-800
20171228	Philadelphia	Portland	-2.5	+145	-155
20171229	Houston	Washington	+1	-118	-102
20171229	Indiana	Chicago	-3	+130	-150
20171229	Dallas	New Orleans	-6	+220	-240
20171229	Phoenix	Sacramento	-1	+120	-130
20171229	Atlanta	Toronto	-11	+500	-700
20171229	Milwaukee	Oklahoma City	-8	+315	-380
20171229	Brooklyn	Miami	-7	+210	-250
20171229	L.A. Clippers	L.A. Lakers	+3.5	-145	+135
20171229	Charlotte	Golden State	-11	+500	-700
20171230	New York	New Orleans	-5.5	+190	-230
20171230	San Antonio	Detroit	+5	-200	+170
20171230	Cleveland	Utah	+3.5	-160	+140
20171230	Miami	Orlando	+1	-117	-103
20171230	Portland	Atlanta	+3.5	-165	+145
20171230	Memphis	Golden State	-13	+775	-1200
20171230	Philadelphia	Denver	-7.5	+255	-310
20171231	Chicago	Washington	-7.5	+250	-300
20171231	Brooklyn	Boston	-10	+425	-550
20171231	Memphis	Sacramento	-3	+130	-150
20171231	Charlotte	L.A. Clippers	-2.5	+120	-140
20171231	Minnesota	Indiana	+2.5	-145	+125
20171231	Dallas	Oklahoma City	-6.5	+200	-240
20171231	L.A. Lakers	Houston	-14.5	+1000	-1500
20171231	Philadelphia	Phoenix	+2.5	-140	+120
20180101	Orlando	Brooklyn	-1	+115	-135
20180101	L.A. Lakers	Minnesota	-10	+450	-600
20180101	Milwaukee	Toronto	-6	+210	-230
20180101	Portland	Chicago	-1	-103	-117
20180102	Portland	Cleveland	-8	+275	-335
20180102	Atlanta	Phoenix	-1.5	+103	-123
20180102	San Antonio	New York	+4	-170	+150
